発生年月日,発生時間,曜日,時間帯,天気,発生場所,路線,道路形状,事故類型,当事者　甲,性別　甲,当事者　乙,性別　乙,BCODE,SCODE,HCODE,EDIT_DAT,x,y
平成25年1月27日,午後６時１７分ころ,日,夜,晴,高崎市吉井町地内,国道２５４号,交差点,車×歩行者,軽四貨物車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,138.9850804,36.25210965
平成25年2月6日,午前１０時１０分ころ,水,昼,雪,安中市松田町地内,国道１８号,単路,車両相互,軽四貨物車,男（高齢者）,大型貨物車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,138.7247088,36.33817585
平成25年2月5日,午前１１時１６分ころ,火,昼,晴,安中市安中地内,市町村道,交差点,車×原付,原付,男（高齢者）,軽四貨物車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,138.8916814,36.31688318
平成25年1月25日,午後１１時３４分ころ,金,夜,晴,高崎市東中里町地内,国道１７号,単路,車両相互,普通乗用車,女（高齢者）,普通二輪車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.0586972,36.30113721
平成25年2月4日,午後１０時４１分ころ,月,夜,晴,高崎市緑町地内,国道１７号,単路,車両×歩行者,軽四乗用車,女（高齢者）,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.0054738,36.35070525
平成25年1月18日,午前０時１７分ころ,金,夜,晴,伊勢崎市平和町地内,主要地方道桐生伊勢崎線,単路,車両相互,軽四乗用車,男,大型二輪車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.2019339,36.32463012
平成25年2月7日,午前６時５４分ころ,木,昼,曇,伊勢崎市山王町地内,国道４６２号,交差点,車×歩行者,軽四貨物車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.1967684,36.2983107
平成25年1月19日,午後５時４３分ころ,土,夜,晴,太田市新田木崎町地内,県道新田上江田尾島線,単路,車×自転車,普通乗用車,男,自転車,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.3015803,36.2847972
平成25年1月25日,午前１時５８分ころ,金,夜,晴,伊勢崎市田部井町地内,県道境木島大間々線,単路,車×歩行者,中型貨物車,男,自転車,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.2488943,36.35278515
平成25年1月8日,午前５時３２分ころ,火,夜,晴,前橋市小坂子町地内,主要地方道渋川大胡線,単路,車両単独,中型貨物車,男,ガードレール,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.1102163,36.43144376
平成25年1月4日,午前７時２５分ころ,金,昼,晴,桐生市堤町地内,市道,単路,車×歩行者,大型二輪車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/03/,139.3286846,36.41539381
平成25年3月13日,午後８時１７分ころ,水,夜,晴,高崎市金古町地内,主要地方道高崎渋川線,単路,車×歩行者,普通乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/04/,139.0025144,36.40771722
平成25年3月20日,午後８時３３分ころ,水,夜,曇,前橋市南町地内,市道南部環状線,交差点,車×自転車,軽四乗用車,男,自転車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/04/,139.0692827,36.37605221
平成25年3月29日,午前３時５２分ころ,金,夜,晴,安中市松井田町原地内,関越自動車道上越線上り車線,単路,車×歩行者,大型貨物車,男,歩行者,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/04/,138.7174136,36.33514059
平成25年4月9日,午前６時００分ころ,火,昼,晴,邑楽郡明和町大字川俣地内,国道１２２号,単路,車両相互,軽四貨物車,男（高齢者）,大型貨物車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.5128605,36.19752483
平成25年4月10日,午後８時１７分ころ,水,夜,雨,北群馬郡榛東村大字長岡地内,主要地方道高崎安中渋川線,単路,車両単独,普通乗用車,女（高齢者）,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,138.9859151,36.44881631
平成25年4月13日,午後１１時２５分ころ,土,夜,晴,吾妻郡東吾妻町大字厚田地内,主要地方道中之条東吾妻線,単路,車×歩行者,軽四乗用車,男,歩行者,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,138.7860965,36.53698723
平成25年4月16日,午後６時５３分ころ,火,夜,晴,太田市大原町地内,市町村道,交差点,車両相互,普通乗用車,男,軽四貨物車,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.2923187,36.36435226
平成25年4月18日,午後２時４８分ころ,木,昼,曇,館林市赤生田町地内,国道３５４号,単路,車×自転車,普通乗用車,男,自転車,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.5556251,36.2311704
平成25年4月20日,午後６時３６分ころ,土,夜,雨,邑楽郡大泉町大字吉田地内,市町村道,交差点,車×歩行者,中型貨物車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.4009855,36.23810417
平成25年4月22日,午後１時２２分ころ,月,昼,晴,みどり市大間々町大間々地内,主要地方道前橋大間々桐生線,単路,車両相互,軽四貨物車,女（高齢者）,普通乗用車,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.2784831,36.41573535
平成25年4月25日,午前９時４０分ころ,木,昼,晴,太田市富沢町地内,国道３５４号,単路,車×歩行者,軽四貨物車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.3594953,36.26106317
平成25年5月5日,午後３時４５分ころ,日,昼,晴,多野郡上野村大字乙父地内,国道２９９号,交差点,車両相互,大型二輪車,男,普通乗用車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,138.7608202,36.08319338
平成25年5月16日,午前１１時１３分ころ,木,昼,晴,渋川市北橘町分郷八崎地内,主要地方道渋川大胡線,単路,車両相互,普通乗用車,男（高齢者）,普通乗用車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.0312978,36.48131883
平成25年5月21日,午後７時ころ,火,夜,曇,伊勢崎市平和町地内,市町村道,単路,車×歩行者,軽四乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,139.1975333,36.32504932
