名称,郵便番号,所在地,TEL,学校種別,BCODE,SCODE,HCODE,EDIT_DAT,x,y
神流町立万場小学校,370-1504,神流町大字万場甲84-2,0274-57-2320,,公立小学校,公立小学校,公立小学校,2015/10/,138.9147561,36.1161527
上野村立上野小学校,370-1611,上野村新羽32,0274-59-2004,,公立小学校,公立小学校,公立小学校,2015/10/,138.7854389,36.08486185
南牧村立南牧小学校,370-2803,南牧村大字千原419番地1,0274-87-2311,,公立小学校,公立小学校,公立小学校,2015/10/,138.7356668,36.17497536
富岡市立富岡小学校,370-2316,富岡市富岡1359,0274-62-3451,,公立小学校,公立小学校,公立小学校,2015/10/,138.8941921,36.25879609
富岡市立西小学校,370-2343,富岡市七日市1073-1,0274-62-0811,,公立小学校,公立小学校,公立小学校,2015/10/,138.8801435,36.25590314
富岡市立一ﾉ宮小学校,370-2452,富岡市一ﾉ宮16-1,0274-62-2034,,公立小学校,公立小学校,公立小学校,2015/10/,138.8554968,36.24889755
富岡市立高瀬小学校,370-2333,富岡市中高瀬761,0274-62-0578,,公立小学校,公立小学校,公立小学校,2015/10/,138.8789361,36.2455732
富岡市立額部小学校,370-2324,富岡市南後箇275,0274-62-0737,,公立小学校,公立小学校,公立小学校,2015/10/,138.8677831,36.23424866
富岡市立吉田小学校,370-2464,富岡市南蛇井275,0274-67-2227,,公立小学校,公立小学校,公立小学校,2015/10/,138.8148503,36.23798513
富岡市立丹生小学校,370-2461,富岡市上丹生3,0274-67-3456,,公立小学校,公立小学校,公立小学校,2015/10/,138.8234172,36.26136544
下仁田町立下仁田小学校,370-2601,下仁田町大字下仁田73,0274-82-2077,,公立小学校,公立小学校,公立小学校,2015/10/,138.7804013,36.21256688
藤岡市立藤岡第一小学校,375-0024,藤岡市藤岡1848-2,0274-22-0549,,公立小学校,公立小学校,公立小学校,2015/10/,139.0744315,36.2420092
藤岡市立藤岡第二小学校,375-0024,藤岡市藤岡991,0274-22-0854,,公立小学校,公立小学校,公立小学校,2015/10/,139.0735901,36.25356596
藤岡市立小野小学校,375-0004,藤岡市森541,0274-22-2546,,公立小学校,公立小学校,公立小学校,2015/10/,139.0755359,36.27826456
藤岡市立美土里小学校,375-0052,藤岡市下大塚222,0274-22-2545,,公立小学校,公立小学校,公立小学校,2015/10/,139.0521761,36.25543849
藤岡市立美九里東小学校,375-0023,藤岡市本郷2067,0274-22-0813,,公立小学校,公立小学校,公立小学校,2015/10/,139.0755774,36.22230664
