名称,郵便番号,所在地,TEL,学校種別,BCODE,SCODE,HCODE,EDIT_DAT,x,y
上野村立上野中学校,370-1617,上野村楢原113,0274-59-2040,中,公立中学校,公立中学校,公立中学校,2015/10/,138.7390138,36.08877916
神流町立中里中学校,370-1602,神流町大字神ヶ原422,0274-58-2517,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8289532,36.09196429
南牧村立南牧中学校,370-2806,南牧村大字大日向1045番地,0274-87-2501,中,公立中学校,公立中学校,公立中学校,2015/10/,138.7077679,36.15838328
富岡市立富岡中学校,370-2343,富岡市七日市1116-1,0274-62-1741,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8838402,36.25577887
富岡市立東中学校,370-2316,富岡市富岡864,0274-62-3511,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8984143,36.25552275
富岡市立西中学校,370-2453,富岡市宮崎20,0274-62-2017,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8416553,36.24890913
富岡市立南中学校,370-2333,富岡市中高瀬1118,0274-64-1603,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8774727,36.24250715
下仁田町立下仁田中学校,370-2601,下仁田町大字下仁田26,0274-82-2049,中,公立中学校,公立中学校,公立中学校,2015/10/,138.7795993,36.21404551
甘楽町立第二中学校,370-2202,甘楽町大字小幡684-1,0274-74-2019,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9163415,36.22860749
藤岡市立東中学校,375-0023,藤岡市本郷786,0274-22-0761,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0762269,36.23332664
藤岡市立西中学校,375-0054,藤岡市上大塚639,0274-22-0704,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0503917,36.23871836
藤岡市立鬼石中学校,370-1401,藤岡市鬼石235-1,0274-52-2750,中,公立中学校,公立中学校,公立中学校,2015/10/,139.062143,36.15973641
高崎市立入野中学校,370-2114,高崎市吉井町石神321-1,027-387-3214,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0045337,36.25077553
甘楽町立第一中学校,370-2211,甘楽町大字小川328-1,0274-74-3154,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9341669,36.25106092
伊勢崎市立第四中学校,372-0843,伊勢崎市下道寺町26,0270-32-8105,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2039603,36.27877862
伊勢崎市立境西中学校,370-0126,伊勢崎市境下武士872-2,0270-74-1068,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2352492,36.27676753
藤岡市立北中学校,375-0014,藤岡市下栗須283-2,0274-22-1352,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0821121,36.25857974
藤岡市立小野中学校,375-0002,藤岡市立石407,0274-24-0104,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0806429,36.27484776
高崎市立新町中学校,370-1301,高崎市新町361-1,0274-42-0931,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1129445,36.27629357
伊勢崎市立境南中学校,370-0124,伊勢崎市境188,0270-74-0635,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2551229,36.26734332
太田市立東中学校,373-0817,太田市飯塚町80,0276-45-3307,中,公立中学校,公立中学校,公立中学校,2015/10/,139.380639,36.27692172
太田市立南中学校,373-0829,太田市高林北町955-1,0276-38-0254,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3638349,36.26200889
太田市立旭中学校,373-0816,太田市東矢島町1082,0276-48-5631,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3818344,36.27416737
太田市立尾島中学校,370-0411,太田市亀岡町584-1,0276-52-0516,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3127274,36.25520937
太田市立木崎中学校,370-0321,太田市新田木崎町301,0276-56-1031,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3027326,36.27411585
大泉町立西中学校,370-0535,大泉町寄木戸533,0276-63-8505,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3919889,36.2524435
館林市立第一中学校,374-0068,館林市台宿町9-1,0276-72-4455,中,公立中学校,公立中学校,公立中学校,2015/10/,139.5327978,36.25601487
館林市立第二中学校,374-0022,館林市加法師町8-20,0276-72-4074,中,公立中学校,公立中学校,公立中学校,2015/10/,139.5508335,36.25021487
館林市立第三中学校,374-0035,館林市青柳町1751-78,0276-72-4061,中,公立中学校,公立中学校,公立中学校,2015/10/,139.5149724,36.2248221
館林市立第四中学校,374-0015,館林市上赤生田町3471-1,0276-75-1771,中,公立中学校,公立中学校,公立中学校,2015/10/,139.54372,36.22731828
館林市立多々良中学校,374-0075,館林市西高根町50-23,0276-72-4025,中,公立中学校,公立中学校,公立中学校,2015/10/,139.5088753,36.26055677
明和町立明和中学校,370-0708,明和町新里298-1,0276-84-3117,中,公立中学校,公立中学校,公立中学校,2015/10/,139.5367427,36.20907569
